o_cell_id,o_cell_x,o_cell_y,d_cell_id,d_cell_x,d_cell_y,o_admi_cd,d_admi_cd,st_time_cd,fns_time_cd,in_forn_div_nm,move_trans,move_dist,move_time,male_00_cnt,male_10_cnt,male_15_cnt,male_20_cnt,male_25_cnt,male_30_cnt,male_35_cnt,male_40_cnt,male_45_cnt,male_50_cnt,male_55_cnt,male_60_cnt,male_65_cnt,male_70_cnt,male_75_cnt,male_80_cnt,male_85_cnt,feml_00_cnt,feml_10_cnt,feml_15_cnt,feml_20_cnt,feml_25_cnt,feml_30_cnt,feml_35_cnt,feml_40_cnt,feml_45_cnt,feml_50_cnt,feml_55_cnt,feml_60_cnt,feml_65_cnt,feml_70_cnt,feml_75_cnt,feml_80_cnt,feml_85_cnt,total_cnt,etl_ymd
다사60501625,960625,1916375,다사65252225,965375,1922375,41117580,41463570,1940,23,내국인,6,7574,248,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.66,20250602
다사61004575,961125,1945875,다사72754925,972875,1949375,11680580,41450630,1800,1840,내국인,6,12208,49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.89,20250602
다사60504875,960625,1948875,다사60754950,960875,1949625,11200670,11200690,16,1700,내국인,7,667,61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,0.00,0.00,0.00,1.67,0.00,0.00,0.00,5.17,20250602
다사60751625,960875,1916375,다사62251600,962375,1916125,41117580,41463550,1920,1920,내국인,5,1513,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,20250602
다사60506175,960625,1961875,다사65504175,965625,1941875,11320514,11680700,1720,22,내국인,8,20616,293,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,20250602
다사60504025,960625,1940375,다사66504425,966625,1944375,11650660,11710620,16,16,내국인,8,7086,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.23,20250602
다사60254650,960375,1946625,다사61505200,961625,1952125,11680580,11230650,00,05,내국인,8,5602,262,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.31,20250602
다사60501625,960625,1916375,다사63752550,963875,1925625,41117580,41465510,22,23,내국인,9,9632,58,0.00,0.00,0.00,0.00,0.00,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.25,20250602
다사60754375,960875,1943875,다사62254275,962375,1942875,11680600,11680670,16,16,내국인,7,1744,36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,20250602
다사60757125,960875,1971375,다사60757125,960875,1971375,41150568,41150568,0740,0820,내국인,5,0,36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.68,20250602
