start_dt,arv_dt,start_emd,arv_emd,sex_nm,agegrd_nm,start_arv_place_type,mvmn_time_sum,mvmn_dstc,popl_cnt
2019-09-30 07:40,2019-10-01 00:20,1116069,3902012,F,15,EE,1014,474832,4.06
2019-09-30 07:40,2019-10-01 00:20,3839034,1120053,M,50,EH,994,203436,3.29
2019-09-30 07:40,2019-10-01 00:40,3339014,1124069,M,45,EE,1027,86716,3.18
2019-09-30 07:40,2019-10-01 01:00,1109071,3501173,M,60,EE,1042,198189,3.55
2019-09-30 07:40,2019-10-01 01:00,1116069,3901063,M,15,EE,1033,456389,4.42
2019-09-30 07:40,2019-10-01 01:00,1116069,3902011,F,20,EE,1028,478448,2.20
2019-09-30 07:40,2019-10-01 01:20,1121066,3811255,M,20,EH,1053,297027,2.72
2019-09-30 07:40,2019-10-01 01:40,2404060,1102059,F,20,EE,1073,264706,2.20
2019-09-30 07:40,2019-10-01 05:20,1107052,3401260,F,20,WE,1288,84795,2.20
2019-09-30 07:40,2019-10-01 07:00,1108081,3202060,M,35,EE,1397,88044,2.68
2019-09-30 07:40,2019-10-01 07:00,3901058,1115064,M,50,EE,1398,446262,3.31
2019-09-30 08:00,2019-10-01 00:20,2601063,1120053,F,25,HH,968,302168,2.05
2019-09-30 08:00,2019-10-01 01:00,1106073,3602065,F,10,WE,1013,321151,5.99
2019-09-30 08:00,2019-10-01 01:00,1112071,3501258,M,20,EH,1016,200247,2.63
2019-09-30 08:00,2019-10-01 01:00,1119055,3501174,F,20,HE,1027,190439,2.19
2019-09-30 08:00,2019-10-01 01:20,2301064,1111052,M,25,EE,1043,56384,2.26
2019-09-30 08:00,2019-10-01 02:20,1122051,3809057,M,35,EE,1114,320797,2.70
2019-09-30 08:00,2019-10-01 03:40,1124054,3201058,F,35,EE,1181,66808,3.04
2019-09-30 08:00,2019-10-01 04:00,1103073,3404012,M,45,EH,1185,85885,3.19
2019-09-30 08:00,2019-10-01 07:40,1116063,3606011,M,60,HE,1423,292777,3.51
2019-09-30 08:20,2019-10-01 00:00,1124066,2204057,F,75,HE,928,225496,8.78
2019-09-30 08:20,2019-10-01 00:00,2205081,1120068,F,25,EE,946,230722,2.07
2019-09-30 08:20,2019-10-01 00:00,2504059,1106086,M,60,EE,938,135199,3.53
2019-09-30 08:20,2019-10-01 00:20,1115051,3337012,M,35,EH,979,85811,6.05
2019-09-30 08:20,2019-10-01 00:20,1121080,3404055,F,25,EE,955,78672,2.07
2019-09-30 08:20,2019-10-01 01:00,1116054,3602052,F,25,HE,997,322889,2.06
2019-09-30 08:20,2019-10-01 01:00,1116069,3902012,F,15,EE,998,475052,3.99
2019-09-30 08:20,2019-10-01 01:00,1116069,3902013,M,30,EE,1002,456123,2.35
2019-09-30 08:20,2019-10-01 01:00,1123051,2114060,M,20,WE,989,323798,2.70
2019-09-30 08:20,2019-10-01 01:00,1123075,2402066,M,25,EE,993,259997,2.28
2019-09-30 08:20,2019-10-01 01:00,1123075,2405075,M,25,EE,1006,255031,2.23
2019-09-30 08:20,2019-10-01 01:00,1124080,3502073,M,25,EH,998,175891,2.28
2019-09-30 08:20,2019-10-01 01:20,1114074,3501268,M,30,HE,1010,192783,2.37
2019-09-30 08:20,2019-10-01 01:20,1124069,3701160,F,20,EE,1018,257467,2.20
2019-09-30 08:20,2019-10-01 01:40,1115065,2401064,M,35,HE,1030,263132,2.74
2019-09-30 08:20,2019-10-01 01:40,3534031,1107060,F,60,HE,1048,225234,3.85
2019-09-30 08:20,2019-10-01 02:00,1114066,3122051,M,60,WE,1064,67363,3.52
2019-09-30 08:20,2019-10-01 02:00,1120056,2402066,F,20,HE,1067,260903,2.20
2019-09-30 08:20,2019-10-01 07:20,1112071,3901059,F,55,HE,1374,459216,3.26
2019-09-30 08:20,2019-10-01 07:40,3709033,1115066,M,25,EE,1409,152313,2.29
2019-09-30 08:40,2019-10-01 00:00,3901011,1108058,M,55,EH,919,473477,3.30
2019-09-30 08:40,2019-10-01 01:00,1106073,3602031,F,10,HE,979,318333,6.02
2019-09-30 08:40,2019-10-01 01:00,1124080,3638011,M,45,EH,988,313447,3.15
2019-09-30 08:40,2019-10-01 01:00,2301064,1109074,M,30,EE,983,55242,2.32
